"REF_DATE","GEO","DGUID","Supply and disposition","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2008-07","Canada","2016A000011124","Coal, received","Metric tonnes","214","units ","0","v43973924","1.3","398570","","","","0"
"2008-07","Canada","2016A000011124","Coal, inventory adjustments","Metric tonnes","214","units ","0","v43973925","1.4","4845","","","","0"
"2008-07","Canada","2016A000011124","Coal, stocks closing","Metric tonnes","214","units ","0","v43973926","1.5","498531","","","","0"
"2008-07","Canada","2016A000011124","Disposition of coal by coke plants","Metric tonnes","214","units ","0","v43973927","1.6","377467","","","","0"
"2008-07","Canada","2016A000011124","Coal, charged to ovens","Metric tonnes","214","units ","0","v43973928","1.7","377467","","","","0"
"2008-07","Canada","2016A000011124","Coal, sold or used for other purposes","Metric tonnes","214","units ","0","v43973929","1.8","0","","","","0"
"2008-07","Canada","2016A000011124","Supply of coal coke","Metric tonnes","214","units ","0","v43973930","1.9","301865","","","","0"
"2008-07","Canada","2016A000011124","Coal coke, stocks opening","Metric tonnes","214","units ","0","v43973912","1.10","345459","","","","0"
"2008-07","Canada","2016A000011124","Coal coke, production","Metric tonnes","214","units ","0","v43973913","1.11","263708","","","","0"
"2008-07","Canada","2016A000011124","Coal coke, received","Metric tonnes","214","units ","0","v43973914","1.12","67320","","","","0"
"2008-07","Canada","2016A000011124","Coal coke, adjustments","Metric tonnes","214","units ","0","v43973915","1.13","1111","","","","0"
"2008-07","Canada","2016A000011124","Coal coke, stocks closing","Metric tonnes","214","units ","0","v43973916","1.14","373511","","","","0"
"2008-07","Canada","2016A000011124","Disposition of coal coke","Metric tonnes","214","units ","0","v43973917","1.15","301865","","","","0"
"2008-07","Canada","2016A000011124","Coal coke, used in blast furnaces","Metric tonnes","214","units ","0","v43973918","1.16","284229","","","","0"
"2008-07","Canada","2016A000011124","Coal coke, used in associated works","Metric tonnes","214","units ","0","v43973919","1.17","294","","","","0"
"2008-07","Canada","2016A000011124","Coal coke, sold for industrial use","Metric tonnes","214","units ","0","v43973920","1.18","1892","","","","0"
"2008-07","Canada","2016A000011124","Coal coke, sold for export","Metric tonnes","214","units ","0","v43973921","1.19","15450","","","","0"
"2008-07","Canada","2016A000011124","Coal coke, all other sales and/or uses","Metric tonnes","214","units ","0","v43973923","1.20","0","","","","0"
"2008-08","Canada","2016A000011124","Supply of coal to coke plants","Metric tonnes","214","units ","0","v43973911","1.1","382369","","","","0"
"2008-08","Canada","2016A000011124","Coal, stocks opening","Metric tonnes","214","units ","0","v43973922","1.2","498531","","","","0"
"2008-08","Canada","2016A000011124","Coal, received","Metric tonnes","214","units ","0","v43973924","1.3","354716","","","","0"
"2008-08","Canada","2016A000011124","Coal, inventory adjustments","Metric tonnes","214","units ","0","v43973925","1.4","1890","","","","0"
"2008-08","Canada","2016A000011124","Coal, stocks closing","Metric tonnes","214","units ","0","v43973926","1.5","472768","","","","0"
"2008-08","Canada","2016A000011124","Disposition of coal by coke plants","Metric tonnes","214","units ","0","v43973927","1.6","382369","","","","0"
"2008-08","Canada","2016A000011124","Coal, charged to ovens","Metric tonnes","214","units ","0","v43973928","1.7","382369","","","","0"
"2008-08","Canada","2016A000011124","Coal, sold or used for other purposes","Metric tonnes","214","units ","0","v43973929","1.8","0","","","","0"
"2008-08","Canada","2016A000011124","Supply of coal coke","Metric tonnes","214","units ","0","v43973930","1.9","318467","","","","0"
"2008-08","Canada","2016A000011124","Coal coke, stocks opening","Metric tonnes","214","units ","0","v43973912","1.10","373511","","","","0"
"2008-08","Canada","2016A000011124","Coal coke, production","Metric tonnes","214","units ","0","v43973913","1.11","292217","","","","0"
"2008-08","Canada","2016A000011124","Coal coke, received","Metric tonnes","214","units ","0","v43973914","1.12","78335","","","","0"
"2008-08","Canada","2016A000011124","Coal coke, adjustments","Metric tonnes","214","units ","0","v43973915","1.13","16710","","","","0"
"2008-08","Canada","2016A000011124","Coal coke, stocks closing","Metric tonnes","214","units ","0","v43973916","1.14","408886","","","","0"
"2008-08","Canada","2016A000011124","Disposition of coal coke","Metric tonnes","214","units ","0","v43973917","1.15","318467","","","","0"
"2008-08","Canada","2016A000011124","Coal coke, used in blast furnaces","Metric tonnes","214","units ","0","v43973918","1.16","301266","","","","0"
"2008-08","Canada","2016A000011124","Coal coke, used in associated works","Metric tonnes","214","units ","0","v43973919","1.17","0","","","","0"
"2008-08","Canada","2016A000011124","Coal coke, sold for industrial use","Metric tonnes","214","units ","0","v43973920","1.18","8507","","","","0"
"2008-08","Canada","2016A000011124","Coal coke, sold for export","Metric tonnes","214","units ","0","v43973921","1.19","8694","","","","0"
"2008-08","Canada","2016A000011124","Coal coke, all other sales and/or uses","Metric tonnes","214","units ","0","v43973923","1.20","0","","","","0"
"2008-09","Canada","2016A000011124","Supply of coal to coke plants","Metric tonnes","214","units ","0","v43973911","1.1","359401","","","","0"
"2008-09","Canada","2016A000011124","Coal, stocks opening","Metric tonnes","214","units ","0","v43973922","1.2","472768","","","","0"
"2008-09","Canada","2016A000011124","Coal, received","Metric tonnes","214","units ","0","v43973924","1.3","514997","","","","0"
"2008-09","Canada","2016A000011124","Coal, inventory adjustments","Metric tonnes","214","units ","0","v43973925","1.4","4445","","","","0"
"2008-09","Canada","2016A000011124","Coal, stocks closing","Metric tonnes","214","units ","0","v43973926","1.5","632809","","","","0"
"2008-09","Canada","2016A000011124","Disposition of coal by coke plants","Metric tonnes","214","units ","0","v43973927","1.6","359401","","","","0"
"2008-09","Canada","2016A000011124","Coal, charged to ovens","Metric tonnes","214","units ","0","v43973928","1.7","359401","","","","0"
"2008-09","Canada","2016A000011124","Coal, sold or used for other purposes","Metric tonnes","214","units ","0","v43973929","1.8","0","","","","0"
"2008-09","Canada","2016A000011124","Supply of coal coke","Metric tonnes","214","units ","0","v43973930","1.9","311490","","","","0"
"2008-09","Canada","2016A000011124","Coal coke, stocks opening","Metric tonnes","214","units ","0","v43973912","1.10","408886","","","","0"
"2008-09","Canada","2016A000011124","Coal coke, production","Metric tonnes","214","units ","0","v43973913","1.11","267774","","","","0"
"2008-09","Canada","2016A000011124","Coal coke, received","Metric tonnes","214","units ","0","v43973914","1.12","75479","","","","0"
"2008-09","Canada","2016A000011124","Coal coke, adjustments","Metric tonnes","214","units ","0","v43973915","1.13","13570","","","","0"
"2008-09","Canada","2016A000011124","Coal coke, stocks closing","Metric tonnes","214","units ","0","v43973916","1.14","427079","","","","0"
