"No","Symbol","Name","Latest","Chg","% Chg","Volume","Turnover","Market Cap","Price per lot","Bid","Ask","Bid Size","Ask Size","Open","Prev Close","High","Low","% Volume","Bid/Ask Ratio","% Amplitude","P/E","Turnover Ratio","Change Rate","5M Ranking","5D Ranking","10D Ranking","20D Ranking","60D Ranking","120D Ranking","250D Ranking","YTD % Chg","Industry"
"33","WDS","Woodside Energy","21.210","+0.120","0.57%","1386585","29386895","40272482642.91","21.210","21.000","24.150","500","2000","21.260","21.090","21.395","21.130","2.48","-60.00%","1.26","4.975","0.07","0.09","0.07%","0.52%","4.69%","3.67%","-2.62%","-9.45%","0.13%","0.57%","Oil & Gas E&P"
"34","EOG","EOG Resources","121.600","+0.650","0.54%","3023003","368878923","70910991603.2","121.600","114.900","125.600","100","100","121.810","120.950","123.299","121.260","1.49","0.00%","1.69","9.198","0.52","0.23","0.12%","-0.55%","1.24%","-0.36%","4.61%","2.51%","2.52%","0.54%","Oil & Gas E&P"
"35","CPE","Callon Petroleum","32.570","+0.170","0.52%","1200433","39654862","2207394229.36","32.570","32.030","33.500","100","100","32.930","32.400","33.840","32.360","0.82","0.00%","4.57","1.666","2.17","0.05","0.31%","-2.66%","-2.86%","3.89%","-2.10%","-7.58%","-6.03%","0.52%","Oil & Gas E&P"
"36","OVV","Ovintiv","44.150","+0.230","0.52%","1983311","87880955","11995460872.2","44.150","42.500","49.000","100","200","44.305","43.920","44.760","43.885","1.24","-33.33%","1.99","3.135","0.78","0.10","0.24%","0.75%","2.06%","0.61%","1.32%","14.36%","-3.39%","0.52%","Oil & Gas E&P"
"37","STR","Sitio Royalties","23.630","+0.120","0.51%","445797","10557598","1932087833.33","23.630","20.940","24.620","100","100","23.660","23.510","23.980","23.525","1.02","0.00%","1.94","17.969","0.56","-0.17","0.19%","1.11%","5.49%","6.78%","6.16%","-7.41%","-6.33%","0.51%","Oil & Gas E&P"
"38","HES","Hess Corp","144.780","+0.620","0.43%","2663698","386894846","44470453235.7","144.780","143.420","151.150","100","100","145.740","144.160","147.050","144.525","1.04","0.00%","1.75","21.385","0.94","-0.12","0.01%","-1.21%","0.12%","2.94%","2.31%","3.38%","8.95%","0.43%","Oil & Gas E&P"
"39","PR","Permian Resources","13.650","+0.050","0.37%","8875289","121776214","7373071128.15","13.650","13.650","13.860","100","5000","13.810","13.600","13.930","13.540","1.09","-96.08%","2.87","8.478","2.02","0.07","0.26%","0.96%","2.48%","3.10%","9.18%","21.31%","61.85%","0.37%","Oil & Gas E&P"
"40","CNQ","Canadian Natural Resources","65.740","+0.220","0.34%","1910041","125534985","71157962100","65.740","63.220","70.100","100","100","65.410","65.520","66.120","65.350","0.81","0.00%","1.18","9.398","0.18","-0.03","0.18%","0.77%","5.35%","-2.03%","9.99%","16.30%","32.14%","0.34%","Oil & Gas E&P"
"41","KOS","Kosmos Energy","6.730","+0.020","0.30%","2253777","15251304","3096672955.03","6.730","6.650","6.950","500","1000","6.760","6.710","6.850","6.700","0.90","-33.33%","2.24","14.020","0.50","0.15","0.14%","-2.04%","2.91%","0.00%","-5.08%","3.22%","12.35%","0.30%","Oil & Gas E&P"
"42","BRY","Berry Corp (bry)","7.050","+0.020","0.28%","965882","6870499","533450770.8","7.050","6.950","7.290","100","500","7.100","7.030","7.215","7.000","1.71","-66.67%","3.06","2.326","1.30","0.21","0.07%","-0.98%","2.03%","-1.40%","-3.30%","1.34%","5.59%","0.28%","Oil & Gas E&P"
